item,target_or_distractor,confidence,response
snob,target,5.0,no
face,distractor,1.0,yes
cashier,target,1.0,yes
trellis,target,3.0,yes
pun,target,2.0,yes
crusader,distractor,3.0,yes
father,distractor,5.0,no
vector,target,1.0,yes
prostanoid,distractor,1.0,yes
shear,target,2.0,yes
grandparent,target,1.0,yes
millisecond,target,1.0,yes
phone,target,1.0,yes
deposition,distractor,4.0,yes
armrest,target,4.0,yes
pen,target,1.0,yes
reporter,target,1.0,yes
apparel,target,1.0,yes
bidet,distractor,2.0,yes
curl,target,1.0,yes
respect,distractor,3.0,yes
drizzle,distractor,4.0,yes
content,target,2.0,yes
skull,distractor,1.0,yes
nose,distractor,5.0,no
inhibitor,target,2.0,yes
pantsuit,distractor,1.0,yes
slash,target,3.0,yes
lox,target,1.0,yes
affect,target,1.0,yes
ocelot,target,1.0,yes
buy,target,1.0,yes
finding,target,1.0,yes
body,distractor,7.0,no
tablet,target,1.0,yes
making,distractor,2.0,yes
mallet,target,1.0,yes
entry,distractor,3.0,yes
shot,distractor,3.0,yes
split,target,1.0,yes
mukluk,distractor,5.0,no
pounding,target,1.0,yes
supplement,distractor,3.0,yes
submitter,distractor,2.0,yes
comestible,target,1.0,yes
teammate,distractor,5.0,no
maternity,target,2.0,yes
academics,distractor,3.0,yes
tiger,target,1.0,yes
hog,distractor,2.0,yes
fork,target,1.0,yes
pusher,target,5.0,no
chandelier,target,2.0,yes
filth,target,1.0,yes
physics,target,1.0,yes
scrap,target,2.0,yes
vanilla,target,1.0,yes
grain,target,1.0,yes
washer,distractor,5.0,no
polyp,target,2.0,yes
horseradish,target,1.0,yes
village,distractor,3.0,yes
custard,distractor,2.0,yes
illegal,target,1.0,yes
disaster,distractor,1.0,yes
lizard,distractor,4.0,yes
blow,target,1.0,yes
expert,target,1.0,yes
crack,target,2.0,yes
downgrade,distractor,5.0,no
ozone,target,1.0,yes
epithelium,target,1.0,yes
berry,target,1.0,yes
exclamation,distractor,7.0,no
feature,distractor,3.0,yes
thaw,target,1.0,yes
inhibition,distractor,7.0,no
badge,target,3.0,yes
gravy,target,1.0,yes
variability,target,1.0,yes
snake,target,1.0,yes
information,distractor,5.0,no
savory,target,1.0,yes
leopard,target,1.0,yes
livestock,target,2.0,yes
cancer,distractor,1.0,yes
nurture,target,3.0,yes
bay,target,1.0,yes
spite,distractor,3.0,yes
motorcar,target,1.0,yes
assault,distractor,5.0,no
cheque,distractor,7.0,no
collaboration,distractor,6.0,no
tremor,target,1.0,yes
illiteracy,distractor,2.0,yes
antechamber,distractor,4.0,yes
description,distractor,1.0,yes
jellybeans,target,1.0,yes
space,distractor,4.0,yes
rainy,distractor,3.0,yes
karate,target,6.0,no
widow,distractor,2.0,yes
attainment,target,1.0,yes
brick,target,1.0,yes
reward,target,2.0,yes
inn,distractor,3.0,yes
fright,target,4.0,yes
thump,target,1.0,yes
spreadsheet,target,1.0,yes
furniture,target,1.0,yes
dial,target,3.0,yes
uncle,distractor,3.0,yes
spyglass,target,1.0,yes
whey,target,1.0,yes
sister,target,3.0,yes
barn,distractor,7.0,no
wind,target,1.0,yes
curd,target,6.0,no
cue,distractor,7.0,no
subscription,distractor,5.0,no
cantaloupe,distractor,3.0,yes
typeface,distractor,5.0,no
whirlpool,target,1.0,yes
steeple,target,1.0,yes
attachment,target,1.0,yes
pig,distractor,1.0,yes
usage,target,1.0,yes
keystone,target,4.0,yes
journal,target,1.0,yes
xylophone,distractor,4.0,yes
potato,target,3.0,yes
return,distractor,5.0,no
revenant,target,1.0,yes
bureau,target,6.0,no
rheumatism,target,1.0,yes
autumn,target,1.0,yes
admission,target,1.0,yes
swath,distractor,2.0,yes
ale,target,1.0,yes
wildebeest,target,2.0,yes
guess,target,1.0,yes
proof-reader,target,3.0,yes
sill,distractor,5.0,no
lighting,distractor,4.0,yes
roller,distractor,3.0,yes
tog,distractor,1.0,yes
sin,target,1.0,yes
woman,target,1.0,yes
aunt,target,1.0,yes
gain,distractor,1.0,yes
